,irish,mexican,chinese,filipino,vietnamese,moroccan,brazilian,japanese,british,greek,indian,jamaican,french,spanish,russian,cajun_creole,thai,southern_us,korean,italian
irish,31,0,0,1,0,1,0,0,18,0,1,1,5,1,3,1,0,15,0,2
mexican,0,532,3,3,0,2,2,0,38,0,4,0,3,6,1,8,4,25,0,18
chinese,0,3,213,3,5,0,0,10,15,0,1,1,2,0,0,1,8,5,5,3
filipino,1,3,2,38,1,0,0,5,9,0,2,0,0,3,2,1,2,5,1,1
vietnamese,1,2,9,3,31,0,0,2,10,0,1,0,1,0,0,0,16,0,1,1
moroccan,0,2,0,0,0,50,0,0,10,2,9,1,1,5,0,1,1,0,0,4
brazilian,1,6,0,0,1,1,17,0,9,0,0,0,0,1,0,2,0,5,0,3
japanese,0,0,13,1,0,0,0,87,20,0,8,0,1,1,0,1,4,4,4,2
british,3,1,0,0,0,0,0,0,41,1,2,1,12,0,2,0,0,18,0,4
greek,2,1,0,0,0,2,1,0,12,68,1,0,5,3,1,0,0,5,0,23
indian,1,7,0,0,1,7,1,4,23,2,224,2,2,0,1,0,4,11,0,5
jamaican,1,5,1,0,0,0,0,0,9,0,1,17,0,1,1,1,0,6,0,0
french,2,3,0,0,0,0,0,2,33,2,0,0,127,5,5,0,0,24,0,44
spanish,0,15,0,0,0,1,1,0,10,2,1,0,16,40,2,2,1,3,0,17
russian,0,1,1,1,0,0,0,0,7,0,0,0,6,0,15,0,0,5,0,2
cajun_creole,1,6,0,0,0,0,0,1,16,1,0,0,4,2,1,93,0,37,0,17
thai,0,1,11,2,7,0,0,0,26,0,7,1,0,0,0,0,100,1,0,1
southern_us,3,9,1,1,1,0,5,1,33,2,1,1,11,6,2,27,0,295,0,17
korean,0,2,18,0,0,0,0,7,14,0,0,0,1,0,0,0,1,2,49,1
italian,2,12,1,1,0,0,0,0,37,11,0,0,50,3,6,5,2,25,0,597
